work_qid,description,says_award
Q751752,"Robinette Broadhead, a married millionaire with health problems, returns in this novel. Even with his need for medical care, Broadhead does not feel that he deserves transplants to keep him alive, as he is still feeling guilty about his horrible journey to a black hole many years ago. He still attempts to research more about the advanced alien Heechees and their star-travelling technology.

At the same time, a madman named Wan attempts to search for his father within black holes, using stolen equipment and a Heechee ship. Wan's probing is noticed by a sentient race of slow-moving creatures who inform a Heechee patrol that is sent out of their black hole to observe the galaxy. Fearing that humans may alert a malevolent race of beings known as the Assassins, the Heechee patrol tries to find out more about human achievements in space flight and whether or not the damage done by them can be undone. Wan's probing also releases Gelle-Klara Moynlin from her two decade-long entrapment. Moynlin was a companion of Robinette on his journey to the black hole, which Moynlin experienced as only several elapsed days. The journeys of these past and future friends of Robinette begin to converge, and in the end, humans finally meet the Heechee race.
",0
Q48816299,"In Conquest Born is a 1986 science fiction novel by American author C. S. Friedman, which was nominated for the John W. Campbell Award for Best New Writer in 1988. The novel blends elements of space opera, anthropological science fiction, and military science fiction. The story takes place in the distant future where two societies of humans, the Azeans and Braxins, vie for control of their proximate interstellar territory, each using its distinctive talents and abilities.",1
Q131380945,"A good and proper aristocrat on the isolated, seemingly backward planet of Haven, Genevieve has been carefully instructed in the Covenants -- the ancient, inflexible laws governing the women of her class. She knows what is expected of her: marriage in her mid-twenties to a groom of her father's choosing, childbirth at age thirty. And then soon afterwards -- as has been the lot of so many noblewomen before her -- perhaps death. But there is another Genevieve within who longs to heed the call of the sea -- though she has never once seen the vast waters that cover most of her homeworld's surface. For an unheard voice is crying out to her across the centuries, drawing her ever-closer to a terrible truth hidden beneath a smoke screen of rules, tradition, and propriety. And it is Genevieve who must fulfill a forgotten destiny -- something inborn passed for untold generations from daughter to daughter -- or she and the entire civilization of Haven will be swept away on a cosmic wave of oblivion.",0
Q5100334,"Alien stealth satellites have been discovered orbiting various habitable planets (eventually including Earth) across space. The Contact Society, a group of rich alien enthusiasts, set out in a brand new superluminal, with Hutch as captain, in search of the source of the strange satellites. As they travel they find a species of sentient spider-like beings who destroyed themselves in a nuclear war, a species of avian beings who look beautiful but are really savages, and a technically advanced alien retreat on an artificial moon. Then Chindi is discovered. A giant asteroid ship, almost 16 km (9.9 miles) long, it seems to have no reasonable use; but when they enter it, they begin to discover its true purpose.
",0
Q4965778,"The book is divided into two parts, the ""home"", and the ""castle"". The ending is part of the ""home"" section, returning after the castle.

The story is based around the German fairy tale of Briar Rose (Sleeping Beauty) which is told by ""Gemma"", an elderly woman, to her three granddaughters. She tells this to the children almost all the time and it is the only bedtime story she ever tells. The times when ""Gemma"" tells the story are flashbacks and alternate between the present-day story.

In the present day, Gemma's Jewish family is living somewhere outside a city in Massachusetts. After her grandmother's death, Rebecca Berlin, the youngest of her three granddaughters (referred to as Becca in the novel) begins to believe that there is some meaning behind the bedtime story that her grandmother told to them hundreds of times. She consults Stan, a good friend and journalist who works for an ""alternative"" newspaper and uncovers historical facts.

She discovers that her grandmother was actually a survivor of the Holocaust who was persecuted for her Jewish origins, and sent to Chełmno extermination camp to be executed. She decides to visit Chełmno and discovers a link with a man by the name of Josef Potocki in Poland. Becca sets off for Poland to find the identity and the life of her grandmother.

In Poland, Josef tells his life story and his meeting with Gemma. In the book, his story is told in the ""castle"" section. He was a target of the Holocaust due to his homosexuality, and became a fugitive, during which time he met many different people, mainly partisans, mainly in Germany. He had heard stories of torture and extermination camps and joined an underground group set out to rescue victims. This leads him to Chełmno (called Kulmhof by the Germans), where he witnesses the gassing to death of numerous people. The people are brought to the camp and then packed into trucks. The trucks drive away, with their exhaust funnelled into the passenger hold. By the time the trucks arrive at their destination, a mass grave, all of the people it was carrying have been gassed to death by the truck exhaust. The people are then dumped into the grave. When the bodies are dumped one of the partisans, named The Avenger notices that a woman with red hair (Gemma) is still alive and faintly breathing. Josef revives her through mouth-to-mouth resuscitation, which the woman, (who is later called KSIĘŻNICZKA, which means 'princess' in Polish) refers to in her fairy tale as ""the kiss of life"". In reality, during this period of time, 320,000 were killed in Chelmno via the method of gassing them in trucks.

Later, she hid in the forest with Polish partisans, fighting the Nazis, and married The Avenger, whom Josef was also in love with. She became pregnant by him shortly after their marriage. Then he, along with almost all of the other partisans, was killed by the Nazis. She escaped and was brought safely to the United States. She never told a soul about these experiences, rather dealing with the trauma by refashioning them in her mind into the form of a familiar fairytale about an evil witch, a princess rendered unconscious who is then revived by a handsome prince, and a happy ending.

The final part of the book is simply a conclusion where Becca returns to the U.S. to tell Stan and her family about what she discovered. At the airport, Stan is there to pick her up. He kisses her, and says ""We'll get to our happily ever after eventually"".
",0
Q17016080,"In 2015, Patricia is 89 years old and living in a nursing home, with two mutually-exclusive sets of memories: one of a world where John F. Kennedy was killed by a bomb in 1963, and one of a world where Kennedy chose not to run in 1964 after an escalated Cuban Missile Crisis led to the nuclear obliteration of Miami and Kyiv—and, on a more personal level, one in which she went by ""Trish"", married a man and had four children before she was able to escape an unhappy marriage and become involved in politics, and one in which, as ""Pat"", she was a successful travel writer raising three children with her lesbian partner. Both feel completely real, but both cannot be – even though both sets of children visit her.
",0
Q4180242,"""Zephyr, Alabama, has been an idyllic home for eleven-year-old Cory Mackenson...a place where monsters swim in the belly of the river, and friends are forever. Then, on a cold spring morning in 1964, as Cory accompanies his father on his milk route, they see a car plunge into a lake some say is bottomless."" -- Back cover.",0
Q125817847,"Ahni Huang is hunting for her brother's killer. As a class 9 empath with advanced biogenetic augmentations, she has complete mental and physical control of her body, and can read other people's intentions before they can even think them. Ahni soon finds though, that there are deceptions behind deceptions, and in the middle of it lies the fate of her brother. Earth is in the midst of a political struggle between the World Council, which governs humankind, and the Platforms, which orbit high above Earth. On the Platform New York Up, ""upsider"" life is different. They have their own culture, values, and ambitions--and now they want their independence from Earth. One upsider leader, Dane Nilson, is determined to accomplish this goal, but he has a secret, one that could condemn him to death. When Ahni stumbles upon Dane during her quest for vengeance, her fate becomes inextricably linked to his. Together they must delve beyond the intrigue and manipulative schemes to get to the core of truth; a truth that will shape the future of the Platforms and shatter any preconceived notions of what defines the human race.",0
Q42529627,"Spoonbenders follows the lives of a ""somewhat dysfunctional and often hilarious"" Telemachus family.[1] The main characters include: Teddy Telemachus, the patriarch (a con man); Maureen, his wife (a powerful psychic); their three children Irene (a human lie detector), Frankie (a telekinetic), and Buddy (a person who can foretell the future); and Matty, Irene's son who can travel outside his body when sexually aroused by thoughts of his cousin Mary Alice (nicknamed Malice).[2][3][4]

The story line of Spoonbenders moves back and forth between the 1960s, when Teddy and Maureen meet in a classified ESP study,[5] and the 1990s, when their three children are coping with life and the death of their mother. In the early days, the Telemachus family toured as a group showing off their superpowers. This early success is thwarted when they participate on a television show and are debunked, James Randi style, and discredited.[1] As adult children, Irene, Frankie, and Buddy are struggling to cope. Irene's lie detecting abilities have ruined her relationships, Frankie's telekinesis, rather than help him, has gotten him in trouble with the mob with a get rich scheme, and Buddy's ""memory of the future"" has left him verbally paralyzed (he does not want to upset the future) and digging holes in his father's backyard. Irene's 14-year-old son, Matty, too, develops out-of-body experiences while spying on his step-cousin, Mary Alice, and masturbating.[6] Along with threats from the mob, the family is being investigated by a government agent who had worked with Maureen years earlier.[1][3][7][4]
",0
Q108907333,"In this chillingly resonant dystopian adventure, two versions of America are locked in conflict. Invisible Sun concludes Charles Stross's Empire Games trilogy. Two twinned worlds are facing attack The New American Commonwealth is caught in a deadly arms race with the USA, its parallel-world rival. And the USA's technology is decades ahead. Yet the Commonweath might self-combust first - for its leader has just died, leaving a crippling power vacuum. Minister Miriam Burgeson must face allegations of treason without his support, in a power grab by her oldest adversary. However, all factions soon confront a far greater danger . . . In their drive to explore other timelines, high-tech USA awakened an alien threat. This force destroyed humanity on one version of Earth. And if the two superpowers don't take action, it will do the same to them. Invisible Sun follows Empire Games and Dark State. This trilogy is set in the same dangerous parallel world as Charles Stross's Merchant Princes sequence.",0
Q10354447,"On a desolate planet named the End of Nothing at the edge of the galaxy, a group of robots and their human assistants form the religious institution called Vatican 17. This group is engaged in a secret project to create the ultimate infallible Pope, a supercomputer robot containing all knowledge that can be gathered from this universe and other dimensions.

Some of this information comes from human psychics called Listeners who can travel mentally to other planets and dimensions. Their experiences are recorded on ""knowledge cubes"" and eventually fed into the Pope. Based on the Pope's interpretation of all knowledge both material and spiritual the robots hope to establish a truly universal religion.

A religious crisis occurs when one of their listeners called Mary claims to have found heaven. The ""theological faction"" of robots petition to have Mary canonized. But another robot faction doubts the authenticity of Mary's heaven. The Vatican fears an end to the search program. Mary is taken ill and cared for by the newcomer Dr. Jason Tennyson. When he arrives on the planet he quickly befriends Jill Roberts, a reporter who wants to write a formal history of the Colony.

While exploring the new planet Tennyson meets Thomas Decker, who is usually accompanied by Whisperer. Whisperer is a member of a species who were native to the planet. He has the ability to speak to Decker and soon finds out that he can communicate telepathically more easily with Tennyson than with Decker.

Decker tells Tennyson that he thinks he knows where Mary's heaven is. Meanwhile, Decker is murdered by one of the theological faction robots in order to keep its location secret. Tennyson, Jill and Whisperer discover the location of Mary’s heaven from the equation people, aliens from another dimension. They met several unique and strange aliens, including a triad of aliens consisting of a haystack with 13 eyes, a bubble named Smokey and an octopus-like creature in constant motion nicknamed Plopper. To their surprise, they also meet Decker or rather a duplicate of him. Mary's heaven turns out to be a type of center for galactic studies that collects physical samples of life forms from all over the galaxy. Tennyson and the others struggle to get back to Vatican with proof that Mary’s heaven is this galactic library, not the real heaven.

The group is transported back to the End of Nothing, including the triad of aliens, thus providing proof that Mary's heaven is not the real heaven. The Cardinals in the Vatican accept this evidence and the Search Program is restored.[1]
",0
Q55611649,"In the 24th century, humans have spread to multiple planets. Most planets are populated by one of the three Splinter Cultures: the Dorsai, military elite; the Exotics, arts and sciences; the Friendly, zealots of religious faith. A group called the Others, Splinter Culture cross-breeds, are gaining dominance over the outer planets.

Hal Mayne, an orphan who was discovered alone on an abandoned spaceship as a baby, is raised on Earth by three guardians, one from each Splinter Culture. One of the leaders of the Others, Bleys Ahrens, comes to the compound to find Hal. The three guardians are killed trying to protect Hal and he escapes to the Final Encyclopedia.

The Final Encyclopedia, which orbits Earth, contains all the knowledge of the human race. Hal's reaction at the Transit Point leads the director, Tam Olyn, to believe Hal could be his successor, but Hal insists on traveling on to Coby, a mining planet. After several years on Coby, Hal spends time on a Friendly planet, an Exotic planet, and the Dorsai planet, making connections and growing in self-knowledge along the way.

Meanwhile, the Others have been extending their dominance, leading the Splinter Cultures to recognize that they are under threat of destruction. Using the resources of the Final Encyclopedia and the partnerships he's built with members of the Splinter Cultures, Hal organizes the resistance to the Others on Earth. It is eventually revealed that Hal Mayne is in fact Donal Graeme, who had somehow developed the ability to reinvent himself as an infant and secure the necessary training to counteract the Others.
",0
Q131413889,"“Gene Wolfe is the smartest, subtlest, most dangerous writer alive today, in genre or out of it. This book [is] important and wonderful.” —Neil Gaiman on The Knight A novel in two volumes, The Wizard Knight is in the rare company of works of fantasy like The Once and Future King, or The Wizard of Earthsea, that drink directly from the wellspring of myth. Now it appears in a single-volume edition for the first time. A young man in his teens is transported from our world to a magical realm consisting of seven levels of reality. Transformed by magic into a grown man of heroic proportions, he takes the name Sir Able of the High Heart and sets out on a quest to find the sword that has been promised to him, the blade that will help him fulfill his ambition to become a true hero—a true knight. Inside, however, Sir Able remains a boy, and he must grow in every sense to survive what lies ahead... “[Wolfe] should enjoy the same rapt attention we afford to Thomas Pynchon, Toni Morrison, and Cormac McCarthy.” —The Washington Post on The Knight “Wolfe’s version of Faerie is both allusive and elusive, beautiful and fatally glamorous.” —Tad Williams on The Knight With a new introduction by Yves Meynard, acclaimed author of The Book of Knights. At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",1
Q2884527,"Mark, Miles Vorkosigan's clone, masquerades as him and hijacks a part of his mercenary force, the Dendarii, to try to free about 50 clones on Jackson's Whole, an anything-goes freebooters' planet where Mark was created and raised. These teenage clones are scheduled to have their brains replaced by those of their wealthy, aged progenitors. When Miles finds out, he attempts to rescue his troops and his brother from the mess Mark has made, but is killed by a needle grenade. He is frozen in a cryonic chamber on the spot, but the medic in charge becomes separated from the rest of the men while retreating under fire. The medic uses an automated shipping system to send the chamber to safety, but is killed before he can tell anyone what he did and where he sent it.

The Dendarii flee the debacle and take Mark to Miles' parents on Barrayar. Cordelia accepts him as a son and has him acknowledged legally as a member of the family. After a while, Mark becomes frustrated by Barrayaran Imperial Security's lack of progress; he is convinced that Miles is still on Jackson's Whole and decides to search there himself. Cordelia helps by buying him a starship. He invites some of the Dendarii along, including Captain Quinn, Miles' second-in-command and lover.

Meanwhile, Miles has been secretly received and resuscitated by the Duronas, a research group cloned from a medical genius and employed by Jackson's Whole magnate Baron Fell. They hope they have Miles (rather than Mark) under their care, but he is suffering from normal, hopefully temporary, post-revival amnesia, so they are unsure. The Duronas wish to hire the Dendarii, who are known for pulling off difficult extractions, to help them escape from Jackson's Whole. Miles' memory takes some time to return.

Mark finds Miles, but is captured by Miles' old nemesis, Baron Ryoval, and tortured for five days. His personality fragments into four sub-personalities: Gorge the glutton, Grunt the sex pervert, Howl the masochist, and Killer the assassin. Together, the first three protect Mark's fragile persona, while Killer bides his time. When Ryoval's assistant informs him that Mark seems to have adjusted remarkably quickly and is actually enjoying the torture, a frustrated Ryoval decides to study his victim alone. Killer takes the opportunity to kill Ryoval, enabling Mark to escape. Mark sells Ryoval's security access codes to Baron Fell for a large sum of money and the Durona Group's freedom.

Miles' short death and revivification have serious repercussions for his health. Mark has his own problems, thanks to his strange upbringing, complicated by the torture. When he asks his mother for help, she sends him to Beta Colony for psychiatric treatment and therapy.

By necessity, this novel is told from the viewpoints of Miles and Mark. This was the first novel in the Vorkosigan series to be written this way, though not the first time Bujold has employed this style; the first occasion was in Falling Free.
",0
Q105491858,"A STEERSWOMAN ASKS, AND IS ALWAYS ANSWERED The steerswoman Rowan has learned much about the master-wizard Slado: that his spells are devastating the distant lands known as the Outskirts, and that they will ultimately threaten even the Inner Lands. But she still knows little beyond that - not the purpose of his actions, nor why he is keeping them secret from the other wizards. He must be found, and stopped. Now, following the slimmest of clues, Rowan arrives in the city of Donner hoping to learn more about Slado's plans. But when the answers begin coming in faster than the questions can be asked, a strange tale from the past emerges, a tale behind all the secrets of the present... Fortunate that Rowan has the Outskirter warrior Bel on hand to watch her back. Because there's one sure way to know that the steerswoman is on the right track: Someone will try to kill her. ""[Kirstein] walks the tightrope between fantasy and science fiction with precision and grace... [her] compassion for even minor characters is evident on every page, and her prose is measured and alluring without being overworked."" - Damien Broderick & Paul Di Filippo, in Science Fiction: The 101 Best Novels 1985-2010 ""Kirstein's striking portrait of an innovative woman who is scientist, judge, historian, and adventurer makes for a good, thought-provoking read."" - Publisher's Weekly ""These books really are terrific fun to read... there are bits of The Language of Power where things dovetail together so beautifully that I want to cheer... If you haven't read Kirstein's Steerswoman books I envy you the chance to read them now for the first time."" - Jo Walton, Hugo and Nebula Awards winner, author of Among Others and Starlings.",0
Q56418944,"The story of Spinning Silver unfolds in the voices of several characters, but primarily in the voices of three young women who struggle against strong evil forces, in an imaginary medieval eastern European kingdom called Lithvas.[1]

Over the last seven years, Lithvas has been suffering from long, brutal winters that are slowly killing its people. Miryem Mandelstam, a young Jewish girl, takes over her father's moneylending business to save her family from poverty. A village girl, Wanda and later her brother, become the Mandelstams' servants. One night, Miryem, flush with her financial success, brags to her mother that she can “turn silver into gold”. Her boast is overheard by the Staryk, a race of fae creatures who emerge from their own world every winter to raid human settlements, and Miryem receives three deliveries of magical silver. Realizing that the Staryk will kill her if she does not give them gold in exchange, she has the metal made into three pieces of jewellery to sell. However, after the sale of the second piece, Miryem demands payment for her work; to Miryem’s horror, the Staryk king tells her that after the third, her ""reward"" will be marriage to him.

The jewellery is bought by the duke of the city of Vysnia for his daughter, Irina; he then persuades Mirnatius, the tsar of Lithvas, to marry her. On her wedding night, Irina discovers that while wearing her Staryk jewellery, she can cross into the Staryk kingdom and magically observe her husband. Mirnatius has a contract allowing his body to be inhabited by Chernobog, a demon who drinks souls and can only emerge at night due to his hatred of sunlight. Each evening, the new tsarina escapes to the fae world, where she is safe from the demon.

After the Staryk king abducts Miryem to his palace, she learns that she can literally change silver into gold with a touch. She also discovers that the Staryk king is responsible for lengthening the winters in Lithvas, and that it is his desire to make them permanent. Although she hates her husband, who refuses even to tell her his name due to the power over him it would give her, Miryem comes to know and care for some of the Staryk; she also sees that their kingdom is suffering mysterious damages. While out exploring, Miryem encounters Irina. The two women create a plan to bring their husbands together, in the hopes that they will destroy one another. Because Miryem cannot cross to the human world alone, she bargains with the king: he will take her to attend her cousin’s wedding in Vysnia if she can transform three of his enormous vaults of silver within three days. She succeeds, barely, with the help of her servants.

Chernobog promises that, in exchange for Irina giving him the Staryk king, he will never harm her or anyone she cares about. She takes him to the wedding, where he confronts the king. With the help of the mortals, the demon imprisons the Staryk and begins consuming his magic. Mirnatius tells Irina that he did not choose the contract with Chernobog, but was promised to the demon by his own mother in exchange for her marrying his father, the previous tsar. Once the king is bound, spring arrives. However, Miryem is troubled to realize that the fae kingdom and its inhabitants, including those who helped her, will all be destroyed as the king is drained. She goes to her husband and learns that, while the Staryk have always raided the human world, they began trying to exterminate Lithvas with brutal winters only after Mirnatius became tsar. Through the magical connection between the fae and human kingdoms, the demon caused the weakening of the Staryk world.

Miryem frees the king after extracting a promise that he will end the killing winters and the raids. Chernobog, enraged, threatens Irina until she offers to take him to the Staryk kingdom. There, Miryem lures the demon into the king’s treasury, and once he is surrounded by silver, she turns it into gold. Unable to bear the touch of solid sunlight on his skin, Chernobog flees back to the human world. In the mortal lands, the demon attempts to turn on Irina, but finds himself powerless when she reminds him of their bargain not to harm her or anyone of hers. As tsarina, she counts all the people of Lithvas as hers - including the tsar. Chernobog is thus forced from Mirnatius's body and killed.

As spring has returned to Lithvas, Miryem is obliged to remain in the Staryk kingdom until the day of the first snow. However, when she returns to the human world, she realizes that she has become attached to the kingdom, its people, and its king. She is nevertheless astonished when the king asks for permission to court her. She consents, and the pair are wed two weeks later. Miryem notes that, in accordance with Jewish custom, her husband signed his name on their marriage contract - but in accordance with Staryk custom, she will never reveal it to anyone.
",0
Q29344605,"Faster than light travel is impossible--until the discovery of The Flow, an extradimensional field available at certain points in space-time, which can take us to other planets around other stars. Riding The Flow, humanity spreads to innumerable other worlds. Earth is forgotten. A new empire arises, the Interdependency, based on the doctrine that no one human outpost can survive without the others. It's a hedge against interstellar war--and, for the empire's rulers, a system of control. But when it's discovered that the entire Flow is moving, possibly separating all human worlds from one another forever, a scientist, a starship captain, and the emperox of the Interdependency must race to find out what can be salvaged from an empire on the brink of collapse. --",0
Q131382866,"A tale of hope in the midst of dystopia by the Nebula Award–winning authors—an expansion of their novella The City of God. God was in his Heaven—which was fifteen miles away, due east. Far in Earth’s future, in a post-utopian hellhole, Hanson works ten solid back-breaking hours a day, shoveling endless mountains of coal, within sight of the iridescent wall that separates what’s left of humanity from their gods. One day, after a tragedy of his own making, Hanson leaves the city, not knowing what he will do or how he will survive in the wilderness without work. He finds himself drawn to the wall, to the elusive promise of God. And when the impossible happens, he steps through, into the city beyond. The impossible was only the beginning. City Under the Stars completes a journey undertaken by Gardner Dozois and Michael Swanwick when they published the novella The City of God. Over two decades later, the two realized there was more to the story, and began the work of expanding it. Now, after Gardner Dozois’ tragic passing in 2018, the story can be told in full.",1
Q131376768,"A wave of fundamentalism is sweeping across the globe as the millennium approaches, and a power-hungry presidential candidate sees his ticket to success in making an example out of a teenage girl who abandoned her infant in a Dumpster. Taking the girl's case is Carolyn Crespin, a former attorney, who left her job for a quiet family life. Now she must call upon five friends from college, who took a vow to always stand together. But their success might depend on the assistance of Sophy, the enigmatic sixth friend, whom they all believed dead.",0
Q130284308,"Taraxippus, a double system of two black holes with the heavier one having one-tenth the mass of the sun, is discovered using gravitational lensing and observing its Einstein rings. It passes through the Solar System and shifts the orbits of the planets. Earth in particular is thrown onto a more elliptical orbit, making it roughly 10–15 degrees warmer at perihelion and correspondingly cooler at aphelion. Countries prepare, for example by enclosing entire cities under a glass dome or opening borders for refugees.

Matt and his friends build the Mandjet, a boat with a self-sustaining ecosystem to stay off land and potentially head to Antarctica. They meet other boats at sea, take people on board if needed, and form a flotilla together. Matt hears of a fire in his hometown Perth and heads back to save his parents and sister, who all previously deemed staying at sea to be too unsafe. He arrives one hour after his father died of a heart attack, which was fatal as he previously concealed his need for a hospital while the family fled Perth. He also learns that his mother blames him for it and even for Taraxippus, as he didn't stop talking about it. Matt brings his mother and sister to the Mandjet successfully, but learns it has been taken over by pirates. Together with his friends, they manage to gain control again. Matt is then forgiven by his mother.[1]
",0
Q131381533,"Told from the perspective of several generations of teenagers, this science fiction novel involves an Earth ravaged by mankind, high-tech manipulative aliens, and advanced genetics. Early in the 21st century, global warming has caused sickness and death among plants, animals, and humans. Suddenly aliens contact and genetically modify a group of 14-year-olds, inviting them to visit their spacecraft. After several months of living among the aliens and studying genetics, the students discover that the aliens have been manipulating them and rebel. Upon their return to Earth, the girls in the group discover that they are pregnant and can only wonder what form their unborn children will take. Generations later, the offspring of these children seek to use their alien knowledge to change their genetic code, to allow them to live and prosper in an environment that is quickly becoming uninhabitable from the dual scourges of global warming and biowarfare. But after all the generations of change, will the genetically modified creatures resemble their ancestors, or will nothing human remain?",0
Q20181152,"Winner of the Arthur C. Clarke and the John W. Campbell Memorial awards for Best Science-Fiction Novel Song of Time begins with an old woman discovering a half-drowned man on a Cornish beach in the furthest days of this strange century. She, once a famous concert violinist, is close to death herself — or a new kind of life she can barely contemplate. Does death still exist at all, or has finally been extinguished? And who is this strange man she's found? Is he a figure returned from her own past, a new messiah, or an empty vessel? Filled with love, music, death and life, and spanning the world from the prim English suburbs of Birmingham to the wild inventions of a new-Renaissance Paris to a post-apocalyptic India, Song of Time tells the story of this century, and confronts the ultimate leap into a new kind of existence, and whatever lies beyond... Praise for Song of Time: “MacLeod’s quiet, meditative novels and stories have been winning critical acclaim for years, and Song of Time sees him at the height of his powers. At the end of a long and eventful life, celebrated violinist Roushana Maitland orders her memories before she passes from the world of the flesh to a virtual afterlife. When she finds a mysterious stranger washed up on the beach of her Cornish retreat, he facilitates the process of remembrance. In flashback chapters we follow Roushana’s turbulent life through the cataclysmic events of the 21st century, taking in the deaths of loved ones, marriage to a conductor-entrepreneur, and a final heartbreaking revelation, Song of Time is a slow, sensitive first-person account of what it means to be human and vulnerable, and confirms MacLeod as one of the country’s very best literary SF writers.” —The Guardian",1
Q4676501,"In 2021, radio astronomy on the Moon reveals the presence of life by a nearby red dwarf, on a tide-locked planet.[a] To investigate, Earth's governments convert a space colony into Lancer, a Bussard ramjet-powered interstellar ship based on the design of a crashed alien ship discovered in the Mare Marginis.

In 2061, the Lancer arrives and discovers a primitive race of nomads, broadcasting using organs adapted to emit and receive electromagnetic radiation (hence ""EM""s). A curious satellite is discovered in orbit, at least a million years old, roughly when a meteor shower destroyed the EMs' civilization.

On Earth, international commerce is brought to a standstill when mysterious spaceships drop sea creatures dubbed Swarmers and Skimmers (for their behaviour: Swarmers swarm ships and head-butt them until they sink, and Skimmers simply jump and skim around like dolphins). They begin multiplying and the Swarmers begin attacking humans and all their works on the seas.

The expedition's first contacts go poorly: The attempt to enter one of the two satellites prompts a massive retaliation that kills most of the crew. Meanwhile, their attempt to contact the EMs in person confuses them; the aliens had expected a reply directly from Earth. The EMs' attempt to communicate with the messenger via radar accidentally cooks him alive. The standby team misinterprets the accident as a deliberate attack and massacres the EMs.

Nigel works with mathematicians and other experts to interpret the EMs' transmission. His analysis reveals that their technologically advanced civilization had attracted the attention of machines, who attacked with orbital bombardments that levelled the EMs' cities and cracked open the crust of the planet, permanently altering the ecosphere. The EMs used genetic engineering to adapt their bodies to use silicon and transistors for a nervous system. As the satellite is programmed to react only to high technology, not inbuilt features of organisms, the EMs are able to broadcast their message to other biological races unmolested.

No sooner has two-way communication been established than new orders come from Earth to move on to Ross 128, where they think the Skimmers and Swarmers may have originated.  En route, the crew analyze reports from space probes. Walmsley hypothesizes that a machine-based race is systematically destroying or guarding planets supporting organic life, and is responsible for the anomalies; the Swarmers represent a first strike at Earth, which had eluded the machines' attempts to kill it, since the assigned Watcher (as Nigel calls the satellites) was destroyed by the Mare Marginis wreck. His ideas are regarded as being too speculative; the consensus is that Watchers are simply a form of weaponry left over from the suicide of biological races, and the Swarmer invasion is a grab for a new world.

At Ross 128, a Ganymede-like moon is found with a Watcher in orbit. Initially it is taken as a disproof of Walmsley's idea that Watchers will appear around any depopulated world that had once harboured technologically advanced biological life. The de facto leader Ted, who has always disliked Walmsley, attempts to covertly force Walmsley into hibernation until they return to Earth. Walmsley breaks out part-way through the medical preparations and escapes to the moon. There he discovers a much-reduced sapient civilization that had links to the EMs before the Watcher came. The Watcher prevented the moon's inhabitants from reaching the surface and developing technology, but cannot destroy the civilization as it is protected by ten kilometres of ice.

News comes from Earth (delayed nine years by the speed of light) that the Swarmers have begun land invasions; the tense superpowers each suspect the other, and escalate into a full-scale nuclear war. The machines, who had attempted to engineer just such a conflict, send their flotilla against the weakened Earth. The grim news galvanizes the crew to reactivate the fusion drive and turn the plume on the Watcher. This tactic cripples the Watcher, but its retaliation damages the Lancer’s drive system.

At some point after the publication of one or more sequels (beginning with Great Sky River, for the American paperback edition), Benford appended a new ending onto the original ending of the novel. The following section is from the second edition of the book to bridge over to the continuance of the Galactic Core Saga:

The Watcher is eventually blinded by being coated with a life-form native to the moon, which eats metals and other such materials, thus allowing the humans to board the ship.  The boarding party discovers a map of the galaxy marked with places significant to the machines, and a fast vessel to take them to those places. Now the leader, Nigel vetoes suggestions that they return to Earth and quoting Adventures of Huckleberry Finn (""Le's all slide out of here one of these nights and go for howling adventures amongst the Injuns over in the territory; and I says all right, that suits me."") energizes everyone for a voyage to the Galactic Center, the most important place of all for the machines. Earth's ocean-borne myriads, now partnered with the Skimmers against the Swarmers, will just have to fend for themselves.


",0
Q131382859,"""Non-stop action! Space battles! Intrigue! This is the kind of space opera that I love best—but Elliott does it even better.""—New York Times bestselling author Ann Leckie New York Times bestselling author Kate Elliott brings us a thrilling new science fiction adventure set in a rich universe full of political intrigue with Unconquerable Sun. Bookpage's Best Books of the Year Autostraddle's Best Queer Books of 2020 GENDER-SPUN ALEXANDER THE GREAT ON AN INTERSTELLAR SCALE Princess Sun has finally come of age. Growing up in the shadow of her mother, Eirene, has been no easy task. The legendary queen-marshal did what everyone thought impossible: expel the invaders and build Chaonia into a magnificent republic, one to be respected—and feared. But the cutthroat ambassador corps and conniving noble houses have never ceased to scheme—and they have plans that need Sun to be removed as heir, or better yet, dead. To survive, the princess must rely on her wits and companions: her biggest rival, her secret lover, and a dangerous prisoner of war. Take the brilliance and cunning courage of Princess Leia—add in a dazzling futuristic setting where pop culture and propaganda are one and the same—and hold on tight: This is the space opera you’ve been waiting for. At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",1
