title,authors,year,work_id,ol_ids,isbns,isdfb_ids,n_nom,n_win
Ready Player One,Ernest Cline,2012,14863741,OL15936512W,1-4481-4958-4;88-7638-255-0;954-783-223-9;1-4464-9383-0;605-09-0344-1;972-23-5823-5;80-7462-074-3;2-266-24233-4;951-20-8840-1;3-7645-3090-1;65-5560-158-2;0-307-91316-3;88-511-5232-2;90-214-4975-7;617-7498-96-5;0-606-26412-4;85-441-0316-2;2-266-29939-5;960-16-4235-8;84-666-6306-1;602-03-8277-X;88-511-5333-7;600-8203-52-6;2-7499-1772-7;958-8951-05-4;83-241-4272-X;606-758-652-5;9949-85-157-2;3-596-70242-9;83-7229-724-X;607-529-068-0;88-04-74183-X;84-9019-996-5;88-7638-344-1;615-5272-01-8;9941-24-180-5;3-596-70664-5;615-5522-81-2;1-61587-614-6;607-31-6303-7;0-307-97006-X;85-441-0697-8;616-287-217-3;609-01-3081-8;1-947783-27-0;953-59871-2-7;80-551-4781-7;1-5291-3535-4;80-242-6042-5;965-13-2445-7;987-627-290-X;87-588-2410-3;9934-516-33-0;82-93059-28-1;986-173-758-8;90-214-0911-9;5-17-093923-X;954-783-267-0;84-664-2092-4;88-511-5655-7;3-596-52258-7;82-93059-42-7;90-214-1472-4;951-24-0734-5;87-588-3047-2;86-521-0820-X;85-8044-472-1;2-7499-3535-0;978-0-307-88743-6;978-0-307-88744-3;978-0-09-956043-2;978-0-8041-9013-8;978-84-666-4917-9;978-1-5247-6328-2;978-85-8044-268-7;978-0-307-88745-0;978-0-553-45938-8;978-0-307-91314-2;978-1-84605-937-7;978-0-307-91315-9;978-0-525-57434-7;978-3-442-38030-5;978-1-78475-479-2;978-3-596-29659-0;978-0-8041-9014-5;978-5-17-078326-7;978-90-214-4976-0;978-90-214-0888-0;978-87-588-1050-8;978-5-17-107194-3;978-83-7229-750-1;978-986-344-531-9;978-90-214-0982-5;978-600-9871-31-5;978-3-641-07293-3;978-5-17-109522-2;978-7-5364-7933-3;978-612-47630-0-7;978-82-05-51482-9;978-5-17-106299-6;978-986-344-391-9;978-89-6077-665-4;978-87-588-3063-6;978-84-664-2114-0;978-2-7499-3588-1;978-80-551-4799-4;978-87-588-1218-2;978-626-310-140-1;978-83-241-4300-9;978-88-357-1149-0;978-616-287-562-5;978-2-7499-1938-6;978-88-357-1951-9;978-88-7638-328-1;978-88-7638-305-2;978-1-80422-991-0;978-80-242-5174-5;0-307-88743-X;0-307-88744-8;0-09-956043-7;0-8041-9013-5;84-666-4917-4;1-5247-6328-4;85-8044-268-0;0-307-88745-6;0-553-45938-4;0-307-91314-7;1-84605-937-2;0-307-91315-5;0-525-57434-4;3-442-38030-8;1-78475-479-X;3-596-29659-5;0-8041-9014-3;5-17-078326-4;978-1-4481-4958-2;978-88-7638-255-0;978-954-783-223-7;978-1-4464-9383-0;978-605-09-0344-7;978-972-23-5823-1;978-80-7462-074-4;978-2-266-24233-2;978-951-20-8840-9;978-3-7645-3090-7;978-1-78746-280-9;978-65-5560-158-9;978-0-307-91316-6;978-88-511-5232-1;978-90-214-4975-3;978-617-7498-96-3;978-0-606-26412-9;978-85-441-0316-6;978-2-266-29939-8;978-614-02-3465-9;978-963-419-461-3;978-960-16-4235-2;978-84-666-6306-9;978-602-03-8277-7;978-88-511-5333-5;978-600-8203-52-0;978-2-7499-1772-6;978-958-8951-05-8;978-83-241-4272-9;978-606-758-652-7;978-9949-85-157-7;978-3-596-70242-8;978-83-7229-724-2;978-607-529-068-3;978-88-04-74183-1;978-84-9019-996-1;978-88-7638-344-1;978-615-5272-01-1;978-9941-24-180-2;978-3-596-70664-8;978-615-5522-81-9;978-1-61587-614-3;978-607-31-6303-3;978-0-307-97006-0;978-85-441-0697-6;978-616-287-217-4;978-609-01-3081-0;978-1-947783-27-0;978-84-9070-723-4;978-953-59871-2-3;978-80-551-4781-9;978-1-5291-3535-0;978-80-242-6042-6;978-965-13-2445-1;978-987-627-290-2;978-87-588-2410-9;978-9934-516-33-7;978-82-93059-28-8;978-986-173-758-4;978-606-43-0191-8;978-90-214-0911-5;978-5-17-093923-7;978-954-783-267-1;978-84-664-2092-1;978-88-511-5655-8;978-3-596-52258-3;978-82-93059-42-4;978-90-214-1472-0;978-958-59868-1-7;978-951-24-0734-7;978-614-01-1867-6;978-87-588-3047-6;978-963-419-573-3;978-86-521-0820-6;978-85-8044-472-8;978-2-7499-3535-5;90-214-4976-5;90-214-0888-0;87-588-1050-1;5-17-107194-2;986-344-531-2;3-641-07293-X;5-17-109522-1;7-5364-7933-6;986-344-391-3;89-6077-665-3;84-664-2114-9;80-551-4799-X;87-588-1218-0;88-357-1149-5;2-7499-1938-X;88-357-1951-8;88-7638-328-X;88-7638-305-0;1-80422-991-1;80-242-5174-4,,1,0
Requiem,Graham Joyce,1996,,,,,1,0
A Choice of Gods,Clifford D. Simak,1973,,,,,1,0
Colony Fleet,Susan R. Matthews,2001,,,,,1,0
Lord Valentine's Castle,Robert Silverberg,1981,,,,,1,0
The Unconquered Country: A Life History,Geoff Ryman,1988,,,,,1,0
Never Let Me Go,Kazuo Ishiguro,2006,1499998,OL59038W,4-15-208719-6;978-4-15-208719-5,,1,0
War Dogs,Greg Bear,2015,,,,,1,0
Furious Gulf,Gregory Benford,1995,442562,,,,1,0
Chill,Elizabeth Bear,2011,,,,,1,0
A Mask for the General,Lisa Goldstein,1988,,,,,1,0
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,2000,2402163,OL82536W,978-84-7888-519-0;978-985-7210-87-9;978-0-7475-4215-5;84-7888-519-6;80-00-01252-9;0-7475-4215-5,,1,0
Little Brother,Cory Doctorow,2008,939584,OL5734718W,978-0-7653-1985-2;978-0-00-728842-7,,1,0
The Forge of God,Greg Bear,1987,2235106,OL16514W,978-0-312-93021-9;0-312-93021-6,,1,0
Cuckoo's Egg,C. J. Cherryh,1986,858417,OL15343698W,0-932096-34-4;978-0-932096-34-0,,2,0
Man Plus,Frederik Pohl,1977,357220,OL60939W,978-0-394-48676-5;0-394-48676-5,,2,0
The Eternal Flame,Greg Egan,2013,,,978-1-59780-293-2,,1,0
Time Storm,Gordon R. Dickson,1978,,OL4909556M,978-0-312-80517-3;0-312-80517-9,,2,0
Steel Beach,John Varley,1993,3101771,OL22398682M,0-441-78565-4;978-0-441-78565-0,,2,0
Somewhither,John C. Wright,2016,,,,,1,0
Chapterhouse: Dune,Frank Herbert,1986,3634569,OL893508W,80-7214-180-5;978-0-399-13027-4,,1,0
Aurelia,R. A. Lafferty,1983,,,,,1,0
Weighing Shadows,Lisa Goldstein,2016,,,,,1,0
Amnesia Moon,Jonathan Lethem,1996,,,,,1,0
Angel of Destruction,Susan R. Matthews,2002,,,,,1,0
Sailing Bright Eternity,Gregory Benford,1996,2216096,OL108281W,978-0-446-61152-7;0-446-61152-2,,1,0
The Yiddish Policemen's Union,Michael Chabon,2007,95855,OL14958135W;OL119430W,978-0-00-714982-7;0-00-714982-4,,0,1
Ragtime,E. L. Doctorow,1975,,OL55239W,0-394-46901-1;978-0-394-46901-0,,1,0
Courtship Rite,Donald Kingsbury,1983,3248842,OL3782957M,978-0-671-44033-6;0-671-44033-0,,2,0
Ring,Stephen Baxter,1995,874504,OL72855W,0-00-224026-2;978-0-00-224026-0,,1,0
The Fall of Hyperion,Dan Simmons,1990,1882596,OL22216239M,978-2-221-06957-8;978-0-385-24950-8;2-221-06957-9;0-385-24950-0,,1,0
The Voices of Heaven,Frederik Pohl,1995,,,,,1,0
Girl in Landscape,Jonathan Lethem,1999,374322,OL74402W,978-0-385-48518-0;0-385-48518-2,,1,0
The Carpet Makers,Andreas Eschbach,2006,622728,,978-3-404-24337-2,,1,0
Tehanu,Ursula K. Le Guin,1990,2902890,OL59847W;OL20102714W,978-0-689-31595-4;978-2-221-06939-4;0-689-31595-3;2-221-06939-0,,0,1
Seed,Rob Ziegler,2012,,,,,1,0
The Stand,Stephen King,1979,1742269,OL81618W,0-385-12168-7;0-385-19957-0;978-0-385-12168-2;978-80-7593-235-8;978-0-385-19957-5,,1,0
My Real Children,Jo Walton,2015,,,,,2,0
Terraplane,Jack Womack,1989,,,,,1,0
Shipstar,"Gregory Benford, Larry Niven",2015,,,,,1,0
Child of the River,Paul J. McAuley,1999,,,,,1,0
Contact,Carl Sagan,1986,2416056,OL2950953W,0-671-43400-4;978-0-671-43400-7,,1,0
Summer of Love,Lisa Mason,1995,,,,,1,0
The Last Coin,James Blaylock,1989,,,,,1,0
Shadrach in the Furnace,Robert Silverberg,1977,,,,,1,0
Gateway,Frederik Pohl,1977,1668837,OL60924W;OL10587218W,978-0-312-31780-5;0-312-31780-8,,0,1
The Book of Skulls,Robert Silverberg,1973,1876966,OL1960643W,0-684-12590-0;978-0-684-12590-9,,1,0
This Is the Way the World Ends,James Morrow,1986,2296453,OL15222254W,,,1,0
The Hollow Man,Dan Simmons,1993,13787,OL8885670M,2-226-06905-4;978-2-226-06905-4,,1,0
Planet of the Damned,Harry Harrison,1962,2089935,OL467291W,,,1,0
Blind Voices,Tom Reamy,1978,,,,,1,0
Briar Rose,Jane Yolen,1993,,,,,1,0
Swan Song,Robert R. McCammon,1988,2947187,OL3909679W,978-0-671-74103-7;0-671-74103-9,,1,0
The Wanderer,Fritz Leiber,1965,830806,OL101950W,,,0,1
Orphan of Creation,Roger MacBride Allen,1989,,,,,1,0
Code of the Lifemaker,James P. Hogan,1984,,,,,1,0
Lexicon,Max Barry,2014,,,,,2,0
Timescape,Gregory Benford,1980,2611291,OL108302W;OL108288W,978-0-671-25327-1;0-671-25327-1,,0,1
A Plague of Demons,Keith Laumer,1965,,,,,1,0
Homegoing,Frederik Pohl,1990,,,,,1,0
Crescent City Rhapsody,Kathleen Ann Goonan,2001,,,,,1,0
Venus of Dreams,Pamela Sargent,1987,,,,,1,0
Necessity's Child,"Steve Miller, Sharon Lee",2014,,,,,1,0
The Vampire Lestat,Anne Rice,1986,3241580,OL77844W,0-345-31386-0;978-0-345-31386-7,,1,0
Voyagers,Ben Bova,1982,,,,,1,0
Blackout,Connie Willis,2010,6697901,OL14914265W,979-10-281-2102-0,,0,1
The Faded Sun: Kesrith,C. J. Cherryh,1978,,,,,1,0
Vast,Linda Nagata,1999,,,,,1,0
The Stress of Her Regard,Tim Powers,1990,937457,OL84115W,84-96208-00-1;978-0-441-79055-5;978-84-96208-00-1;978-1-892391-79-7,,1,0
Updraft,Fran Wilde,2015,,,,,1,0
Helliconia Winter,Brian Aldiss,1985,,,,,1,0
Black Easter,James Blish,1968,1468042,OL17334799M,978-0-571-08699-3;0-571-08699-3,,1,0
Merchanter's Luck,C. J. Cherryh,1983,,,,,1,0
The Rainy Season,James Blaylock,2000,,,,,1,0
Vanishing Point,Michaela Roessner,1994,,,,,1,0
Mars Crossing,Geoffrey A. Landis,2001,,,,,2,0
Watchtower,Elizabeth A. Lynn,1980,,,,,0,1
Blood Music,Greg Bear,1985,2563510,OL2861525M;OL20263747M,0-87795-720-7;978-0-87795-720-1,,1,0
To Say Nothing of the Dog,Connie Willis,1999,696,OL14858398W;OL14858392W,978-0-553-09995-9;978-3-453-18783-2;0-553-09995-7,,0,2
The Martian Race,Gregory Benford,2000,,,,,1,0
Double Star,Robert A. Heinlein,1956,2887127,OL59715W,,,0,1
Midnight Robber,Nalo Hopkinson,2001,,OL15861345W,978-0-446-67560-4;0-446-67560-1,,2,0
Matriarch,Karen Traviss,2007,340000,OL5813993W,978-0-06-088231-0;0-06-088231-X,,1,0
Dreamsnake,Vonda N. McIntyre,1979,254960,OL1921526W,0-395-26470-7;978-0-395-26470-6,,0,2
Nova Swing,M. John Harrison,2007,,,,,2,0
The Quantum Rose,Catherine Asaro,2002,2702215,OL78622W,978-0-312-89062-9;0-312-89062-1,,0,1
Transfigurations,Michael Bishop,1980,,,,,1,0
Jack Glass: The Story of a Murderer,Adam Roberts,2013,,,,,1,1
Mayflies,"Kevin O'Donnell, Jr.",1980,,,,,1,0
The Forever Man,Gordon R. Dickson,1987,,,,,1,0
Cyteen,C. J. Cherryh,1989,820134,OL60589W,0-446-51428-4;978-0-446-51428-6,,0,2
The Inverted World,Christopher Priest,1975,2226603,OL166496W,0-571-10444-4;2-7021-0003-1;978-0-571-10444-4;978-2-7021-0003-5,,1,0
The Zenith Angle,Bruce Sterling,2005,,,,,1,0
The Dark Beyond the Stars,Frank M. Robinson,1992,1243349,OL156107W,978-0-312-86624-2;0-312-86624-0,,1,0
Prisoner of Conscience,Susan R. Matthews,1999,,,,,1,0
The Einstein Intersection,Samuel R. Delany,1968,2006203,OL56829W,978-2-7201-0088-8;978-84-450-7104-5;978-0-8195-6336-1;2-7201-0088-9;84-450-7104-1,,1,0
The Courier's New Bicycle,Kim Westwood,2012,,,,,1,0
Was,Geoff Ryman,1993,,,,,1,0
Origin,Stephen Baxter,2002,2117021,OL72862W,,,1,0
At the Eye of the Ocean,Hilbert Schenck,1982,,,,,1,0
The Phoenix Exultant,John C. Wright,2004,,,,,1,0
Aurora,Kim Stanley Robinson,2016,,,,,2,0
Neptune's Brood,Charles Stross,2014,,,978-0-425-25677-0;978-0-356-50099-7,,3,0
Metaplanetary: A Novel of Interplanetary Civil War,Tony Daniel,2002,,,,,1,0
Memory,Lois McMaster Bujold,1997,3036720,OL56889W,978-0-671-87743-9;978-2-290-05230-3;0-671-87743-7;2-290-05230-2,,3,0
The Children of the Sky,Vernor Vinge,2012,,,978-0-312-87562-6;978-0-8125-7992-5,,1,0
God's War,Kameron Hurley,2011,,,978-0-09-195278-5,,1,0
The Secret of Life,Paul J. McAuley,2002,,,,,1,0
Firestarter,Stephen King,1981,1803,OL81623W,0-670-31541-9;0-451-16780-5;978-80-7306-818-9;978-80-7593-317-1;978-80-7593-448-2;978-0-670-31541-3;978-0-451-16780-4,,1,0
The Conqueror's Child,Suzy McKee Charnas,2000,,,,,1,0
The Masks of Time,Robert Silverberg,1968,2487653,OL1960638W,978-0-345-23446-9;0-345-23446-4,,1,0
When Gravity Fails,George Alec Effinger,1987,127822,,,,1,0
Margaret and I,Kate Wilhelm,1971,,,,,1,0
The Memory of Whiteness,Kim Stanley Robinson,1986,,,,,1,0
Songmaster,Orson Scott Card,1981,,OL49674W,978-0-8037-7711-8;0-8037-7711-6,,1,0
The Onion Girl,Charles de Lint,2002,,,,,1,0
Saint Leibowitz and the Wild Horse Woman,"Terry Bisson, Walter M. Miller",1998,250974,OL2626642W,0-553-10704-6;978-0-553-10704-3,,1,0
Dark Orbit,Carolyn Ives Gilman,2016,,,,,1,0
The Separation,Christopher Priest,2003,1105531,OL27329922M;OL166491W,2-207-25577-8;978-2-207-25577-3,,2,0
Zero History,William Gibson,2011,10567916,,,,2,0
When HARLIE Was One,David Gerrold,1972,,,,,1,0
The Limits of Enchantment,Graham Joyce,2006,,,,,1,0
Chindi,Jack McDevitt,2003,,,,,2,0
The Book of Phoenix,Nnedi Okorafor,2016,,,,,2,0
The Mist,Stephen King,1981,59181,,,,1,0
The Lies of Locke Lamora,Scott Lynch,2007,2116675,OL11652084W,0-553-80467-7;0-575-07975-4;978-0-553-80467-6;978-0-575-07975-5;978-0-575-07694-5;978-80-242-8767-6,,1,0
Alternities,Michael P. Kube-McDowell,1989,,,,,1,0
Bones of the Earth,Michael Swanwick,2002,,,,,1,0
Q3052025,China Miéville,2012,14146240,,978-0-345-52449-2;978-0-230-75076-0,,2,1
Exodus from the Long Sun,Gene Wolfe,1997,,,,,1,0
All the Birds in the Sky,Charlie Jane Anders,2016,45119441,OL25935301M;OL17357379W,978-0-7653-7994-8;0-7653-7994-5,,1,1
Hild,Nicola Griffith,2013,,OL16817571W,,,1,0
The Drowning Girl,Caitlín R. Kiernan,2013,,,,,1,0
The Trinity Paradox,"Doug Beason, Kevin J. Anderson",1992,,,,,1,0
A Stranger in Olondria,Sofia Samatar,2014,,,978-1-931520-76-8;978-1-61873-062-6,,0,1
Gateway,Frederik Pohl,1978,1668837,OL60924W;OL10587218W,978-0-312-31780-5;0-312-31780-8,,0,3
Jaran,Kate Elliott,1993,,,,,1,0
End of an Era,Robert J. Sawyer,1995,,,,,1,0
Catspaw,Joan D. Vinge,1989,,,,,1,0
The Clone,"Theodore L. Thomas, Kate Wilhelm",1965,,,,,1,0
Ringworld,Larry Niven,1971,924711,OL510451W;OL510405W,84-9800-133-1;978-0-575-07702-7;978-84-9800-133-4;978-80-7617-545-7;0-345-02046-4;2-277-23527-X;978-0-345-02046-8;978-2-277-23527-9,,0,2
Blackout,Connie Willis,2011,6697901,OL14914265W,979-10-281-2102-0,,1,2
Anno Dracula,Kim Newman,1993,,,,,1,0
Brother Termite,Patricia Anthony,1994,,,,,1,0
The Sky Road,Ken MacLeod,2001,1887172,,978-1-85723-967-6,,2,0
Slaughterhouse-Five,Kurt Vonnegut,1970,1683562,OL98474W;OL98459W,0-385-31208-3;0-385-33384-6;978-80-257-1528-4;978-80-257-1770-7;978-0-385-31208-0;978-0-385-33384-9,,1,0
Dream Park,"Steven Barnes, Larry Niven",1982,,,,,1,0
The Prestige,Christopher Priest,1996,1688160,OL166497W,0-671-71924-6;2-207-25149-7;978-0-671-71924-1;978-2-207-25149-2,,0,1
Mockingbird,Sean Stewart,1999,372876,,,,2,0
Only Begotten Daughter,James Morrow,1990,1259875,OL15222260W,978-0-688-05284-3;0-688-05284-3,,1,0
Borderline,Mishell Baker,2016,,OL20240980W,978-1-481-42978-8;1-481-42978-7,,2,0
The Integral Trees,Larry Niven,1984,7420631,OL510446W,978-0-345-31270-9;0-345-31270-8,,1,0
Emperor,Stephen Baxter,2007,874513,OL72842W,978-0-575-07432-3;0-575-07432-9,,1,0
Count Zero,William Gibson,1986,879764,,978-2-7071-1620-8;2-7071-1620-3,,1,0
On Stranger Tides,Tim Powers,1988,17505,OL84109W,0-441-62683-1;978-0-441-62683-0;978-1-930235-32-8,,1,0
Starplex,Robert J. Sawyer,1996,,,,,1,0
Luna: New Moon,Ian McDonald,2016,,OL20474762W,,,2,0
Keeping It Real,Justina Robson,2007,1891142,OL5731693W,978-0-575-07907-6;0-575-07907-X,,1,0
Lord of Light,Roger Zelazny,1967,1011388,OL15346065W;OL13992W,0-8398-2499-8;80-85782-27-8;978-0-8398-2499-2;978-1-85798-820-8,,1,0
Jem,Frederik Pohl,1979,1994048,OL60942W,,,1,0
Deception Well,Linda Nagata,1998,,,,,1,0
The Tommyknockers,Stephen King,1988,150226,,0-399-13314-3;978-0-399-13314-5,,1,0
The Silence of the Lambs,Thomas Harris,1989,,OL27051833W,0-312-02282-4;978-0-312-02282-2,,1,0
Olympos,Dan Simmons,2006,1537178,OL1963295W,978-0-380-97894-6;0-380-97894-6,,1,0
The Road,Cormac McCarthy,2007,3355573,OL40873W,0-330-51300-1;0-307-26543-9;0-307-38789-5;978-0-330-51300-5;978-0-307-26543-2;978-0-307-38789-9,,1,0
Synners,Pat Cadigan,1991,295822,,978-1-3996-1725-3,,1,0
The Years of Rice and Salt,Kim Stanley Robinson,2003,74882,OL81659W,0-553-10920-0;978-0-553-10920-7,,1,1
The Summer Queen,Joan D. Vinge,1992,,,,,2,0
Half a Crown,Jo Walton,2009,3334798,OL22704949W;OL5841565W,978-0-7653-1621-9;978-1-4721-1299-6,,1,0
Free Live Free,Gene Wolfe,1985,,,,,1,0
Stand on Zanzibar,John Brunner,1969,2184253,OL3521966W,,,0,1
Crucible,Nancy Kress,2005,,,,,1,0
The Shapes of Their Hearts,Melissa Scott,1999,,,,,1,0
Kiteworld,Keith Roberts,1986,,,,,2,0
Passage,Connie Willis,2001,25745,OL14858401W,978-0-553-11124-8;0-553-11124-8,,1,0
Infinity Beach,Jack McDevitt,2000,,,,,1,0
Rama II,"Gentry Lee, Arthur C. Clarke",1990,1907786,OL27272601M,978-2-277-23204-9;2-277-23204-1,,1,0
Golden Son,Pierce Brown,2016,26984955,,,,1,0
The Citadel of the Autarch,Gene Wolfe,1984,178614,OL14871898W,,,1,1
The Dream Years,Lisa Goldstein,1986,,,,,1,0
Zendegi,Greg Egan,2011,,,978-1-59780-174-4;978-0-575-08617-3;978-0-575-08618-0;1-59780-174-7;0-575-08617-3;0-575-08618-1,,1,0
Greenhouse Summer,Norman Spinrad,2000,,,,,2,0
The Tower at Stony Wood,Patricia A. McKillip,2001,2605620,OL92475W,0-441-00733-3;978-0-441-00733-2,,1,0
Orbitsville,Bob Shaw,1976,952544,OL7024330W;OL6449907W;OL15691631W;OL10587157W,,,1,0
The Golden Nineties,Lisa Mason,1996,,,,,1,0
City on Fire,Walter Jon Williams,1998,,OL447387W,978-0-06-105213-2;0-06-105213-2,,1,0
Turing & Burroughs,Rudy Rucker,2013,,,,,1,0
Marsbound,Joe Haldeman,2009,,,,,1,0
The Darkling Wind,S. P. Somtow,1986,,,,,1,0
Juniper Time,Kate Wilhelm,1979,,,,,1,0
Glamour in Glass,Mary Robinette Kowal,2012,,,,,1,0
In Conquest Born,Celia S. Friedman,1988,,OL24135159W,,,1,0
Stranger in a Strange Land,Robert A. Heinlein,1991,908211,OL59741W;OL59681W,2-221-09103-5;90-229-9021-4;0-441-79034-8;978-3-4535-2548-1;978-1-9848-0278-1;978-0-441-79034-0,,1,0
Good News From Outer Space,John Kessel,1989,,,,,1,0
Metropolitan,Walter Jon Williams,1995,871394,,978-2-290-30974-2;2-290-30974-5,,1,0
The Little Country,Charles de Lint,1992,,,,,1,0
The Renegades of Pern,Anne McCaffrey,1990,555,OL73347W,978-0-345-34096-2;0-345-34096-5,,1,0
The Dreamers,James Gunn,1982,,,,,1,0
Work Done for Hire,Joe Haldeman,2015,,,,,1,0
Dervish Is Digital,Pat Cadigan,2002,,,,,1,0
The Three-Body Problem,Liu Cixin,2014,25696480,OL17267881W,978-0-7653-7706-7;978-7-5366-9293-0;7-5366-9293-5,,1,0
The Rowan,Anne McCaffrey,1991,,,,,1,0
Thorns,Robert Silverberg,1967,,,,,1,0
Lost in Transmission,Wil McCarthy,2005,568002,OL1863611W,978-0-553-58447-9,,1,0
The Damnation Game,Clive Barker,1986,,,,,1,0
A Rose for Armageddon,Hilbert Schenck,1983,,,,,1,0
The Grace of Kings,Ken Liu,2015,,,,,1,0
The Company,Tom Holt,2009,,,,,1,0
The Magic Labyrinth,Philip José Farmer,1981,1811767,OL1840414W,978-0-399-12381-8;0-399-12381-4,,1,0
Isle of the Dead,Roger Zelazny,1969,1877102,OL13983W,0-441-37469-7;978-0-441-37469-4,,1,0
Red Dust,Paul J. McAuley,1994,,,,,1,0
Solis,A. A. Attanasio,1995,,,,,1,0
The Golden Age,John C. Wright,2003,200745,OL5725219W,0-312-84870-6;978-0-312-84870-5,,1,0
Diplomatic Immunity,Lois McMaster Bujold,2003,2511259,OL56885W,0-7434-3533-8;978-0-7434-3533-8;978-0-7434-3612-0;978-84-666-1262-3,,2,0
The Wild Shore,Kim Stanley Robinson,1985,,,,,1,0
Savages,Tom Holt,2016,,,,,1,0
Firebird,Jack McDevitt,2012,,,978-1-937007-80-5;1-937007-80-4,,1,0
The Silent Land,Graham Joyce,2011,,,,,1,0
The Graveyard Book,Neil Gaiman,2009,2219449,OL679348W,0-06-053092-8;0-06-171282-5;978-0-06-053092-1;978-0-06-171282-1;978-80-7332-230-4,,1,1
Helliconia Spring,Brian Aldiss,1982,,,,,1,0
The Faded Sun: Kutath,C. J. Cherryh,1980,,,,,1,0
Jurassic Park,Michael Crichton,1991,3376836,OL46881W,0-394-58816-9;2-221-07022-4;85-332-0148-6;978-0-394-58816-2;978-2-221-07022-2;978-85-332-0148-4,,1,0
Invader,C. J. Cherryh,1996,1711345,OL60607W,978-0-88677-687-9;0-88677-687-2,,1,0
The Hundred Thousand Kingdoms,N. K. Jemisin,2011,6626657,,978-0-316-04392-2;978-2-36051-023-8,,2,0
Suldrun's Garden,Jack Vance,1983,,,,,1,0
Roadmarks,Roger Zelazny,1980,924623,OL13978W,0-345-28530-1;978-0-345-28530-0;978-80-242-8262-6,,1,0
The Hemingway Hoax,Joe Haldeman,1991,1903764,,,,1,0
Roderick,John Sladek,1983,831113,OL2817028W,,,1,0
Star of Gypsies,Robert Silverberg,1987,2380883,OL1960613W,1-59102-309-2;0-917657-92-6;978-1-59102-309-8;978-0-917657-92-4,,1,0
Daybreak Zero,John Barnes,2012,,,,,1,0
Them Bones,Howard Waldrop,1985,2275420,OL1855978W,978-0-441-80557-0;0-441-80557-4,,1,0
Waves,M. A. Foster,1981,,,,,1,0
Beyond the Blue Event Horizon,Frederik Pohl,1981,1584650,OL60931W,,,2,0
Babel-17,Samuel R. Delany,1966,13612561,OL56834W,978-0-575-09420-8,,0,1
Corrupting Dr. Nice,John Kessel,1998,2494672,OL2684721W,978-0-312-86116-2;0-312-86116-8,,1,0
Wake Up and Dream,Ian R. MacLeod,2012,,OL16544735W,978-1-84863-194-6;1-84863-194-4,,1,0
Ancient of Days,Michael Bishop,1986,,,,,1,0
Palimpsest,Catherynne M. Valente,2010,4019291,OL12284323W,978-0-553-38576-2,,1,0
Diaspora,Greg Egan,1998,1007609,OL115341W,978-0-7528-0925-0;978-0-06-105281-1;978-3-453-16181-8;0-7528-0925-3;0-06-105281-7;3-453-16181-5,,1,0
Up the Line,Robert Silverberg,1969,909315,OL1960654W,978-0-345-32585-3;978-0-7434-4497-2;0-345-32585-0;0-7434-4497-3,,1,0
Circumpolar!,Richard A. Lupoff,1985,,,,,1,0
Antarctica,Kim Stanley Robinson,1998,3011567,OL81662W,978-0-553-57402-9;978-0-00-225359-8,,1,0
Transcendent,Stephen Baxter,2006,2117050,OL72837W,978-0-575-07430-9;0-575-07430-2,,2,0
2061: Odyssey Three,Arthur C. Clarke,1988,1426854,OL17408W,0-345-35173-8;978-0-345-35173-9,,1,0
Hull Zero Three,Greg Bear,2011,12255540,OL24593709M,0-316-07281-8;978-0-316-07281-6,,2,0
Nemesis Games,"Ty Franck, James S. A. Corey, Daniel Abraham",2016,42456264,,,,1,0
Blind Voices,Tom Reamy,1979,,,,,1,0
Q134478923,James Morrow,2009,,,,,1,0
The Coming of the Quantum Cats,Frederik Pohl,1987,1393129,OL60936W,978-0-553-05129-2;0-553-05129-6,,1,0
Missing Man,Katherine MacLean,1975,,,,,1,0
Terminal World,Alastair Reynolds,2011,,OL16080776W,978-0-575-07718-8;978-0-441-01866-6;978-0-575-08493-3;0-575-08493-6,,1,0
Red Rising,Pierce Brown,2016,21580644,OL28226956M,978-0-345-53978-6;0-345-53978-8,,1,0
Firelord,Parke Godwin,1981,,,,,1,0
A Little Knowledge,Michael Bishop,1978,,,,,1,0
King's Dragon,Kate Elliott,1997,1251288,OL805543W,,,1,0
The Dragon Waiting,John M. Ford,1984,1791898,OL3922351W,978-0-671-47552-9;978-1-250-26901-0;0-671-47552-5;1-250-26901-6,,0,1
Chronosequence,Hilbert Schenck,1989,,,,,1,0
The Last President,John Barnes,2014,,,,,1,0
Shades of Milk and Honey,Mary Robinette Kowal,2010,,OL14992176W,,,1,0
In the Ocean of Night,Gregory Benford,1978,2226612,OL108300W,978-0-8037-4218-5;0-8037-4218-5,,1,0
Twelve Fair Kingdoms,Suzette Haden Elgin,1982,,,,,1,0
Shrine of Stars,Paul J. McAuley,2001,,,,,1,0
The Orphan,Robert Stallman,1980,352728,,,,1,0
The Vampire Tapestry,Suzy McKee Charnas,1981,,,,,1,0
Fairyland,Paul J. McAuley,1997,,,,,0,1
Araminta Station,Jack Vance,1988,,,,,1,0
Great Sky River,Gregory Benford,1988,773801,,2-221-05832-1;978-2-221-05832-9,,2,0
The Ragged World,Judith Moffett,1992,,,,,1,0
Neuromancer,William Gibson,1984,909457,OL27258W,4-15-010672-X;978-4-15-010672-0;978-0-441-00746-2;978-2-7071-1562-1;978-2-277-22325-2;978-85-7657-049-3;2-7071-1562-2,,0,2
