work_qid,description
Q783533,"Voici une occasion tant pour ceux qui ont lu les cinq volumes du cycle ##Fondation## d'en constater la prȟistoire, que pour ceux qui ne les ont pas lus d'inaugurer la lecture d'un des chefs-d'oeuvre de la science-fiction contemporaine. [SDM]."
Q4501974,"From back cover Berkley paperback September 1984:

It was a new word for Hell.  An escape-proof prison mine, where the worst criminals in the Universe were condemned to perpetual suffering in the ruby darkness.

Aton had committed the unpardonable crime.  He was condemned to Chthon for loving the minionette, the sensuous siren-spirit no man was allowed to possess... or even desire.

And to find out who she was and why she was forbidden, Aton had to do what none before him had ever done.  Escape from Chthon!"
Q5406934,"""The legendary novel of extraterrestrial war in an uncaring universe comes to comics, in a stunningly realized vision of Joe Haldeman's Vietnam War parable epic war story spanning relativistic space and time, The Forever War explores one soldier's experience as he is caught up in the brutal machinery of a war against an unknown and unknowable alien foe that reaches across the stars"" --



The monumental Hugo and Nebula award winning SF classic-- Featuring a new introduction by John Scalzi

The Earth's leaders have drawn a line in the interstellar sand--despite the fact that the fierce alien enemy they would oppose is inscrutable, unconquerable, and very far away. A reluctant conscript drafted into an elite Military unit, Private William Mandella has been propelled through space and time to fight in the distant thousand-year conflict; to perform his duties and do whatever it takes to survive the ordeal and return home. But ""home"" may be even more terrifying than battle, because, thanks to the time dilation caused by space travel, Mandella is aging months while the Earth he left behind is aging centuries..."
Q602288,"""*It*"" is a 1986 horror novel by American author Stephen King. ""*It*"" was his 22nd book and his 17th novel written under his own name. The story follows the experiences of seven children as they are terrorized by an evil entity that exploits the fears of its victims to disguise itself while hunting its prey. ""*It*"" primarily appears in the form of Pennywise the Dancing Clown to attract its preferred prey of young children.

The novel won the British Fantasy Award in 1987, and received nominations for the Locus and World Fantasy Awards that same year.

In 2003, ""*It*"" was listed at number 144 on the BBC's The Big Read poll.




----------
See also:

 - [IT 1/2][2]
 - [IT 2/2][3]


  [1]: https://www.stephenking.com/library/novel/it.html
  [2]: https://openlibrary.org/works/OL14916816W/It_1_2
  [3]: https://openlibrary.org/works/OL14916818W/It_2_2"
Q7050019,"Humanx Commonwealth #9

“Before Man and insectlike Thranx had become allies, when the reptilian AAnn were just occasional raiders of Thranx colony worlds, one young Thranx agricultural expert lived a life of quiet desperation.

A dreamer in a world of sensible, stable beings, Ryo buried himself in his work -- reclaiming marshland from a tenacious jungle -- until he came across a letter describing a relative's encounter with horrid, two-legged, soft-skinned space-going beasts…”

From Goodreads"
Q430514,"American Gods (2001) is a fantasy novel by British author Neil Gaiman. The novel is a blend of Americana, fantasy, and various strands of ancient and modern mythology, all centering on the mysterious and taciturn Shadow."
Q6353404,"Is the ex GI posing as Kalki, an ancient Hindu diety, running an international drug ring or bringing about the destruction of the world?"
Q114310172,"From award-winning author R. F. Kuang comes Babel, a thematic response to The Secret History and a tonal retort to Jonathan Strange & Mr. Norrell that grapples with student revolutions, colonial resistance, and the use of language and translation as the dominating tool of the British empire.

Traduttore, traditore: An act of translation is always an act of betrayal.

1828. Robin Swift, orphaned by cholera in Canton, is brought to London by the mysterious Professor Lovell. There, he trains for years in Latin, Ancient Greek, and Chinese, all in preparation for the day he’ll enroll in Oxford University’s prestigious Royal Institute of Translation—also known as Babel.

Babel is the world's center for translation and, more importantly, magic. Silver working—the art of manifesting the meaning lost in translation using enchanted silver bars—has made the British unparalleled in power, as its knowledge serves the Empire’s quest for colonization.

For Robin, Oxford is a utopia dedicated to the pursuit of knowledge. But knowledge obeys power, and as a Chinese boy raised in Britain, Robin realizes serving Babel means betraying his motherland. As his studies progress, Robin finds himself caught between Babel and the shadowy Hermes Society, an organization dedicated to stopping imperial expansion. When Britain pursues an unjust war with China over silver and opium, Robin must decide…

Can powerful institutions be changed from within, or does revolution always require violence?"
Q663215,"Mona Lisa Overdrive is the final novel of the William Gibson's cyberpunk Sprawl trilogy.

Living in the vast computer landscape of cyberspace, young Mona taps into the mind of world-famous Sense/Net star Angie Mitchell who deciphers cyperspace plans, including those devised by Japanese underworld."
Q1448428,"Jim Eckert was a dragon. He hadn't planned it that way, but that's what happened when he set out to rescue his betrothed. Following her through an erratic astral-projection machine, Jim suddenly found himself in a cockeyed world - locked in the body of a talking dragon named Gorbash.
That wouldn't have been so bad if his beloved Angie were also a dragon. But in this magical land, that was not the case. Angie had somehow remained a very female human - or a george, as the dragons called any human. And Jim, no matter what anyone called him, was a dragon.
To make matters worse, Angie had been taken prisoner by an evil dragon and was held captive in the impenetrable Loathly Tower. So in this land where georges were edible and beasts were magical - where spells worked and logic didn't - Jim Eckert had a problem.
And he needed help, by george!"
Q2870228,"SciFi - Subtitled ""The Life and Loves of Maureen Johnson (Being the Memoirs of a Somewhat Irregular Lady)"". Maureen Johnson is the mother of Woodrow Wilson Smith/Lazarus Long/Theodore Bronson. This memoir takes sexually active Maureen from her childhood in the 1880s to her rescue 100 years later and on to her rejuvenation and activity as a time traveler."
Q459303,"INTERNATIONAL BESTSELLER • Set in eighteenth-century France, the classic novel that provokes a terrifying examination of what happens when one man’s indulgence in his greatest passion—his sense of smell—leads to murder.

In the slums of eighteenth-century France, the infant Jean-Baptiste Grenouille is born with one sublime gift—an absolute sense of smell. As a boy, he lives to decipher the odors of Paris, and apprentices himself to a prominent perfumer who teaches him the ancient art of mixing precious oils and herbs. But Grenouille’s genius is such that he is not satisfied to stop there, and he becomes obsessed with capturing the smells of objects such as brass doorknobs and fresh-cut wood. Then one day he catches a hint of a scent that will drive him on an ever-more-terrifying quest to create the “ultimate perfume”—the scent of a beautiful young virgin. Told with dazzling narrative brilliance, Perfume is a hauntingly powerful tale of murder and sensual depravity."
Q7334688,"From back cover Harper paperback June 1996:

Michael Poole's *wormholes* constructed in the orbit of Jupiter had opened the galaxy to humankind.  Then Poole tried looping a wormhole back on itself, tying a knot in space and ripping a hole in time.

It worked.  Too well.

Poole was never seen again.  Then from far in the future, from a time so distant that the stars themselves were dying embers, came an urgent SOS -- and a promise.  The universe was doomed, but humankind was not.  Poole had stumbled upon an immense artifact, light-years across, fabricated from the very *string* of the cosmos.

The Universe had a door.  And it was open...."
Q3433346,"Generations ago, humans fled to the cosmic anomaly known as Grass. But before humanity arrived, another species had already claimed Grass for its own. It too had developed a culture......

Now a deadly plague is spreading across the stars, leaving no planet untouched, save for Grass. But the secret of the planet's immunity hides a truth so shattering it could mean the end of life itself."
Q130036358,"***New York Times*** **bestseller Cory Doctorow's** ***Red Team Blues*** **is a grabby next-Tuesday thriller about cryptocurrency shenanigans that will awaken you to how the world really works.**

Martin Hench is 67 years old, single, and successful in a career stretching back to the beginnings of Silicon Valley. He lives and roams California in a very comfortable fully-furnished touring bus, The Unsalted Hash, that he bought years ago from a fading rock star. He knows his way around good food and fine drink. He likes intelligent women, and they like him back often enough.

Martin is a—contain your excitement—self-employed forensic accountant, a veteran of the long guerilla war between people who want to hide money, and people who want to find it. He knows computer hardware and software alike, including the ins and outs of high-end databases and the kinds of spreadsheets that are designed to conceal rather than reveal. He’s as comfortable with social media as people a quarter his age, and he’s a world-level expert on the kind of international money-laundering and shell-company chicanery used by Fortune 500 companies, mid-divorce billionaires, and international drug gangs alike. He also knows the Valley like the back of his hand, all the secret histories of charismatic company founders and Sand Hill Road VCs. Because he was there at all the beginnings. He’s not famous, except to the people who matter. He’s made some pretty powerful people happy in his time, and he’s been paid pretty well. It’s been a good life.

Now he’s been roped into a job that’s more dangerous than anything he’s ever agreed to before—and it will take every ounce of his skill to get out alive."
Q3135306,"Before becoming one of today's most intriguing and innovative mystery writers, Kate Wilhelm was a leading writer of science fiction, acclaimed for classics like The Infinity Box and The Clewiston Test.

Now one of her most famous novels returns to print, the spellbinding story of an isolated post-holocaust community determined to preserve itself, through a perilous experiment in cloning. Sweeping, dramatic, rich with humanity, and rigorous in its science, Where Later the Sweet Birds Sang is widely regarded as a high point of both humanistic and ""hard"" SF, and won SF's Hugo Award and Locus Award on its first publication. It is as compelling today as it was then.

Where Late the Sweet Birds Sang is the winner of the 1977 Hugo Award for Best Novel."
Q151550,"When Michael Crawford discovers his bride brutally murdered in their wedding bed, he is forced to flee not only to prove his innocence, but to avoid the deadly embrace of a vampire who has claimed him as her true bridegroom. Joining forces with Byron, Keats, and Shelley in a desperate journey that crisscrosses Europe, Crawford desperately seeks his freedom from this vengeful lover who haunts his dreams and will not rest until she destroys all that he cherishes. Told in the guise of a secret history, this long-awaited tale of passion and terror is finally back in print after more than 20 years."
Q2678988,"SciFi - Originally written in 1938-9 but never published, RAH's first novel is a raw work filled with themes used throughout his career.  Perry Nelson, a Navy flier, is killed in an auto accident in 1938; he awakens in 2086 and spends the novel contrasting reality of 1938 with the semi-utopian 2086."
Q21065522,"Having woven intricate and gripping plots around thought provoking looks at the future of countries like India, Brazil and Turkey, Ian McDonald now turns his attention to the moon. Luna is a gripping thriller about five corporate families caught in a bitter battle for supremacy in the harsh environment of the moon. It's very easy to die on the moon but with its vast mineral wealth its also easy to make your fortune. This is SF that will be perfect for fans of Kim Stanley Robinson and Ken Macleod alike. Told over two volumes this will do for the moon what the award winning River of Gods did for India, the award-winning Brasyl for Brazil and the award winning The Dervish House for Turkey - it will give it a vibrant, extraordinary and believable future."
Q3227984,"All eyes were watching the eclipse of the Moon when the Wanderer--a huge, garishly colored artificial world--emerged. Only a few scientists even suspected its presence, and then, suddenly and silently, it arrived, dwarfing and threatening the Moon and wreaking havoc on Earth's tides and weather. Though the Wanderer is stopping in the solar system only to refuel, its mere presence is catastrophic. A tense, thrilling, and towering achievement. Winner of the Hugo Award for Best SF Novel of the Year!"
Q2269230,"Seeking refuge in fantasy novel worlds throughout a youth under the shadow of a dubiously sane half-brother who dabbled in magic, Mori Phelps is forced to confront her mother in a tragic battle and gains unwanted attention when she attempts to perform spells herself."
Q3212608,"For forty years, Colony 3245.12 has been Ofelia's home. On this planet far away in space and time from the world of her youth, she has lived and loved, weathered the death of her husband, raised her one surviving child, lovingly tended her garden, and grown placidly old. And it is here that she fully expects to finish out her days--until the shifting corporate fortunes of the Sims Bancorp Company dictates that Colony 3245.12 is to be disbanded, its residents shipped off, deep in cryo-sleep, to somewhere new and strange and not of their choosing. But while her fellow colonists grudgingly anticipate a difficult readjustment on some distant world, Ofelia savors the promise of a golden opportunity. Not starting over in the hurly-burly of a new community . . . but closing out her life in blissful solitude, in the place she has no intention of leaving. A population of one.With everything she needs to sustain her, and her independent spirit to buoy her, Ofelia actually does start life over--for the first time on her own terms: free of the demands, the judgments, and the petty tyrannies of others. But when a reconnaissance ship returns to her idyllic domain, and its crew is mysteriously slaughtered, Ofelia realizes she is not the sole inhabitant of her paradise after all. And, when the inevitable time of first contact finally arrives, she will find her life changed yet again--in ways she could never have imagined. . . .From the Trade Paperback edition."
Q7751049,"From back cover Tor paperback November 2002:

The sequel to *A Million Open Doors* and *Earth Made of Glass*

Special agent Giraut Leones, betrayed by his superior and closest friend, swore he would never work for the Office of Special Projects again -- but now he must.  A new movement on Earth seeks to use the recorded personalities of the dead as helpless virtual reality playthings, and to the worlds of the Thousand Cultures -- where the reborn are accepted as normal citizens -- it's a monstrous crime.  If Giraut cannot stop Earth from ratifying its plans, the tenuous structure of interstellar human civilization will collapse.

Complicating matters, Giraut's brain now hosts a second consciousness -- the revived mind of his long-dead friend Raimbaut.  Together, Giraut and Raimbaut must confront their shared past while struggling with a deadly present."
Q129929,"In the astonishing finale to the His Dark Materials trilogy, Lyra and Will are in unspeakable danger. With help from Iorek Byrnison the armored bear and two tiny Gallivespian spies, they must journey to a dank and gray-lit world where no living soul has ever gone. All the while, Dr. Mary Malone builds a magnificent Amber Spyglass. An assassin hunts her down, and Lord Asriel, with a troop of shining angels, fights his mighty rebellion, in a battle of strange allies—and shocking sacrifice.

As war rages and Dust drains from the sky, the fate of the living—and the dead—finally comes to depend on two children and the simple truth of one simple story."
Q4180242,"""Zephyr, Alabama, has been an idyllic home for eleven-year-old Cory Mackenson...a place where monsters swim in the belly of the river, and friends are forever. Then, on a cold spring morning in 1964, as Cory accompanies his father on his milk route, they see a car plunge into a lake some say is bottomless."" -- Back cover."
Q2469019,"The Ankh-Morpork Post Office is running like . . . well, not at all like a government office. The mail is delivered promptly; meetings start and end on time; five out of six letters relegated to the Blind Letter Office ultimately wend their way to the correct addresses. Postmaster General Moist von Lipwig, former arch-swindler and confidence man, has exceeded all expectations—including his own. So it's somewhat disconcerting when Lord Vetinari summons Moist to the palace and asks, ""Tell me, Mr. Lipwig, would you like to make some real money?""Vetinari isn't talking about wages, of course. He's referring, rather, to the Royal Mint of Ankh-Morpork, a venerable institution that haas run for centuries on the hereditary employment of the Men of the Sheds and their loyal outworkers, who do make money in their spare time. Unfortunately, it costs more than a penny to make a penny, so the whole process seems somewhat counterintuitive.Next door, at the Royal Bank, the Glooper, an ""analogy machine,"" has scientifically established that one never has quite as much money at the end of the week as one thinks one should, and the bank's chairman, one elderly Topsy (nee Turvy) Lavish, keeps two loaded crossbows at her desk. Oh, and the chief clerk is probably a vampire.But before Moist has time to fully consider Vetinari's question, fate answers it for him. Now he's not only making money, but enemies too; he's got to spring a prisoner from jail, break into his own bank vault, stop the new manager from licking his face, and, above all, find out where all the gold has gone—otherwise, his life in banking, while very exciting, is going to be really, really short. . . ."
Q1505793,"The ' (1970–2004), by science fiction author Larry Niven, is a part of his Known Space set of stories. Its backdrop is the Ringworld, a giant artifact 600 million miles in circumference around a sun. The series is composed of four standalone science fiction novels, the original award-winning book and its three subsequent sequels:
1970: Ringworld
1980: The Ringworld Engineers
1996: The Ringworld Throne
2004: Ringworld's Children
The core series was developed with three side series of prequels set in the same Ringworld universe, and written in collaboration:
1988–2009: Man-Kzin Wars (by various edited by Niven)
2007–2010: Fleet of Worlds (by Niven and Edward M. Lerner)
2010-2011: Juggler of Worlds (by Niven and Edward M. Lerner)"
Q149552,"One man escapes from a biological weapon facility after an accident, carrying with him the deadly virus known as Captain Tripps, a rapidly mutating flu that - in the ensuing weeks - wipes out most of the world's population. In the aftermath, survivors choose between following an elderly black woman to Boulder or the dark man, Randall Flagg, who has set up his command post in Las Vegas. The two factions prepare for a confrontation between the forces of good and evil.
([source][1])


  [1]: https://stephenking.com/library/novel/stand_the.html"
Q2910240,"Sequel to Araminta Station.
It was just an old piece of paper. The original Title Deed and Charter that preserved for all time the unspoiled wilderness beauty ofthe planet Cadwal: no human settlement, no mining or commercial development. No interference with the teeming variety of its native life forms.
But now the Charter had gone missing from the archives on Old Earth - just as an unholy conspiracy of the greedy and the unscrupulous campaigned to open up Cadwal to unlimited exploitation.
Glawen Clattuc from Araminta Station and tantalising Wayness Tamm find themselves charged with the alarming task of tracking down the missing Charter, thwarting a galaxy-wide plot and saving a planet..."
Q6780592,"This retelling of the enigmatic Dr. Jekyll-Mr. Hyde tale deserves praise for suspense, character creation, and historical verisimilitude. Mary Reilly, a loyal, trusted servant in the household of Dr. Jekyll records in her diary the mysterious circumstances which lead to her Master's tragic fate. The hierarchy of social classes, relationships among servants and domestics, and details of language and dress enhance this marvelous re-creation with the realism of Dickens."
Q6787788,"In thirty years, the invincible Eqbas will arrive at Earth to forcibly return the planet to what it once was&#8212as retribution, in part, for the gethes' thoughtless near-extermination of an alien ocean-dwelling species. First, however, another world requires their attention: the crowded, ecologically ravaged planet of the swarming, insect-like isenj. Efforts to drastically reduce the isenj population have sparked a devastating civil war&#8212which may well do the savior/destroyers' work for them. And the human visitors can only watch.Rendered immortal and ever changeable by a parasite in her blood, ex-cop Shan Frankland isn't content merely to play Matriarch to her two similarly infected mates&#8212one earthborn, one alien wess'har. Her fears for the future of Umeh and the ultimate fate of humankind must be set aside while she tackles an unfulfilled duty that haunts her every waking moment&#8212a mission that must be undertaken for the sake of the future&#8212and pursues a righteous vengeance."
Q5441458,"Count Sessine is about to die for the very last time ...

Chief Scientist Gadfium is about to receive the mysterious message she has been waiting for from the Plain of Sliding Stones ...

And Bascule the Teller, in search of an ant, is about to enter the chaos of the crypt ...

And everything is about to change ...

For this is the time of the encroachment and, although the dimming sun still shines on the vast, towering walls of Serehfa Fastness, the end is close at hand. The King knows it, his closest advisers know it, yet sill they prosecute the war against the clan Engineers with increasing savagery.

The crypt knows it too; so an emissary has been sent, an emissary who holds the key to all their futures."
Q2567510,"Après une explosion atomique, la plupart des terriens survivants sont partis s'installer sur les planètes de la Confédération de Véga. L'espérance de vie de certains hommes a augmenté. Ainsi, personne ne connaît l'âge de Conrad Nomikos, le conservateur de la Terre, qui vit sur une île grecque miraculeusement préservée. Il a pour mission de guider Cort Myshtigo, un végan venu explorer la planète."
Q3294970,"In the Nebula Award winning Red Mars, Kim Stanley Robinson began his critically acclaimed epic saga of the colonization of Mars, Now the Hugo Award winning Green Mars continues the thrilling and timeless tale of humanity's struggle to survive at its farthest frontier.Nearly a generation has passed since the first pioneers landed, but the transformation of Mars to an Earthlike planet has just begun The plan is opposed by those determined to preserve the planets hostile, barren beauty. Led by rebels like Peter Clayborne, these young people are the first generation of children born on Mars. They will be joined by original settlers Maya Toitovna, Simon Frasier, and Sax Russell. Against this cosmic backdrop, passions, rivalries, and friendships explode in a story as spectacular as the planet itself.From the Paperback edition."
Q462454,"Contains:

 - [The Talisman](https://openlibrary.org/works/OL15119769W/The_Talisman)
 - [Black House](https://openlibrary.org/works/OL15119768W/Black_House)"
Q932592,"After the defeat of the Mule by the Second Foundation, Terminus enjoys a period of prosperity and stability which is publicly attributed to the Seldon Plan, but which some feel is the work of the Second Foundation.  A search is begun to determine if the Second Foundation still exists.  Meanwhile, the Second Foundation finds that there is evidence of an independent force acting against the Mule to protect the Seldon Plan.  A search is launched to determine what this force is and if it is a threat.  The end result is a search for Earth (Terminus being the last planet settled by the galactic empire and Earth being the metaphoric opposite of first human planet settled).  A final three way confrontation results in a fateful decision and an open question."
Q3231611,"Alfred Bester's first science fiction novel since The Stars My Destination was a major event--a fast-moving adventure story set in Earth's future. A band of immortals--as charming a bunch of eccentrics as you'll ever come across--recruit a new member, the brilliant Cherokee physicist Sequoya Guess. Dr. Guess, with the group's help, gains control of Extro, the super-computer that controls all mechanical activity on Earth. The plan to rid Earth of political repression and to further Guess's researches--which may lead to a great leap in human evolution to produce a race of supermen. But Extro takes over Guess instead of turns malevolent. The task of the merry band suddenly becomes a fight in deadly earnest for the future of Earth.Sequoya Guess, whom they love, must be killed. And how do you kill an immortal?"
Q737910,"Published in 1975, Ragtime changed our very concept of what a novel could be. An extraordinary tapestry, Ragtime captures the spirit of America in the era between the turn of the century & the First World War. The story opens in 1906 in New Rochelle, NY, at the home of an affluent American family. One lazy Sunday afternoon, the famous escape artist Harry Houdini swerves his car into a telephone pole outside their house. Almost magically, the line between fantasy & historical fact, between real & imaginary characters, disappears. Henry Ford, Emma Goldman, J.P. Morgan, Evelyn Nesbit, Sigmund Freud & Emiliano Zapata slip in & out of the tale, crossing paths with Doctorow's imagined family & other fictional characters, including an immigrant peddler & a ragtime musician from Harlem whose insistence on a point of justice drives him to revolutionary violence."
Q99434216,"**From the *New York Times* bestselling author of *Jonathan Strange & Mr. Norrell*, an intoxicating, hypnotic new novel set in a dreamlike alternative reality.**

Piranesi's house is no ordinary building; its rooms are infinite, its corridors endless, its walls are lined with thousands upon thousands of statues, each one different from all the others. Within the labyrinth of halls an ocean is imprisoned; waves thunder up staircases, rooms are flooded in an instant. But Piranesi is not afraid; he understands the tides as he understands the pattern of the labyrinth itself. He lives to explore the house.

There is one other person in the house--a man called The Other, who visits Piranesi twice a week and asks for help with research into A Great and Secret Knowledge. But as Piranesi explores, evidence emerges of another person, and a terrible truth begins to unravel, revealing a world beyond the one Piranesi has always known.

For readers of Neil Gaiman's *The Ocean at the End of the Lane* and fans of Madeline Miller's *Circe*, *Piranesi* introduces an astonishing new world, an infinite labyrinth full of startling images of surreal beauty, haunted by the tides and the clouds.

This description comes from the publisher."
Q4753290,"Plot introduction
[
edit
]


On the grossly-overpopulated planet, remnants of ""nature"" exist only in the isolated areas not covered by housing, industry and industrial farming. Creativity and individuality are suppressed and channeled into rigid social formats. A powerful 
bureaucracy
/
police state
 oversees the acts of all citizens. Its purpose is to maintain control for the planetary elite, and to that end it is prepared to resort to any method, however ruthless.

In contrast to all this, the author introduces another planet on which human development has followed a diametrically opposite path: the natural world is respected; population is limited; and each individual is encouraged to develop uniquely. On this other world, human beings are known to be basically ""spiritual"", and immortal in nature. 
Telepathy
 and 
telekinesis
 are developed as much and as rapidly as possible.

As the narrative progresses, a confrontation develops between these different systems."
Q2917970,"Plot summary
[
edit
]


The interplay between humans who have chosen to ""turn"" into 
vampires
 and those who are ""warm"" (humans) is the backdrop for the plot which tracks 
Jack the Ripper
's politically charged destruction of vampire prostitutes. The reader is alternately and sympathetically introduced to various points of view. The main characters are Jack the Ripper, and his hunters 
Charles Beauregard
 (an agent of the 
Diogenes Club
), and 
Geneviève Dieudonné
, an elder French vampire (a similar version of Dieudonné appeared in Newman's trilogy of novels, written under the pseudonym Jack Yeovil, for the 
Warhammer Fantasy universe
)."
Q85742917,"Plot summary
[
edit
]


Ariosto
 is a novel that takes place partly in an alternate universe where Italia Federata is ruled by the Medicis, and partly in a fantasy world in the mind of a fictionalized version of 
Lodovico Ariosto
.
[
1
]






^
 
 
Cite error: The named reference 
Ares
 was invoked but never defined (see the 
help page
)."
Q20856830,"Plot
[
edit
]


A 
generation ship
 is launched from 
Earth
 in 2545 at 0.1 
c
 (i.e. traveling at 30,000 km/s or 10% the speed of light). It includes twenty-four self-contained 
biomes
 and an average population of two thousand people. One hundred sixty years and approximately seven generations later, it is beginning its deceleration into the 
Tau Ceti
 system to begin colonization of a planet's moon, an 
Earth analog
, which has been named Aurora.

Devi, the ship's 
de facto
 chief engineer and leader, is concerned about the decaying infrastructure and biology of the ship: systems are breaking down, each generation has lower intelligence test scores than the last, and bacteria are mutating and evolving at a faster rate than humans. She tells the ship's AI, referred to simply as Ship, to keep a 
narrative
 of the voyage. After having some trouble with understanding the human concept of narrative, Ship eventually elects to follow the life of Devi's daughter Freya as a 
protagonist
.

As a teenager, Freya travels around the ship on her 
wanderjahr
 and learns that many of the ship's inhabitants are dissatisfied with their enclosed existence and what they perceive as a 
dictatorship
. Movement is strictly limited for most people, reproduction is tightly controlled, and education in science and mathematics is mandatory. Freya's 
wanderjahr
 comes to an end when she is called home as Devi grows sick from cancer and dies.

The ship arrives in the Tau Ceti system and begins to settle Aurora, a moon of 
Tau Ceti e
. It soon becomes apparent that 
extraterrestrial life
 is present in the form of complex 
prions
, which infect and kill some of the landing party. All except one of the remaining settlers attempt to return to the ship, and some of those remaining onboard kill them in the airlock to maintain 
quarantine
, leading to a violent political schism throughout the ship. The ship itself, which has been moving towards 
self-awareness
, takes physical control of the situation by lowering oxygen levels and separating warring factions, referring to itself as ""the 
rule of law
"". It then reveals to the crew that there were in fact two ships originally launched for the Tau Ceti expedition, but the other was destroyed during a period of severe civil unrest, and the collective memory of that event was erased from the history records.

Under Ship's moderation, a more peaceful debate takes place between the inhabitants about what to do now that Aurora is known to be inhospitable. Unable to reach consensus, the factions agree to part ways, with those who wish to stay retaining as many resources as can be spared to pursue an unlikely attempt at 
terraforming
 the Mars-like moon Iris, while the other group, led by Freya, opt to try and return to 
Earth
. Using raw materials in the Tau Ceti system, they refuel the ship to allow acceleration back to Earth; since they lack fuel to decelerate, they must rely on the 
laser propulsion
 system that originally launched them from the Solar System to slow them down on approach. The last remaining Aurora settler, who remains permanently quarantined in his shuttle attached to the exterior of the ship, elects to return to Earth as well. Initially, Freya and the others who return remain in communication with those who remained in the Tau Ceti system, but much later on their voyage home this communication stops.

On the voyage back to Earth, the ship's biomes continue to deteriorate as bacteria flourish and crops fail. The humans soon face 
famine
 and experiment with an untested form of 
cryogenic freezing
, which is largely successful. The ship's repeated entreaties to Earth to turn back on the laser propulsion system are ignored due to societal and political strife back in the 
Solar System
, and many citizens' anger at the colonists' ""cowardice"". Eventually a private group funds and reactivates the laser, but the delay means the ship's speed is only reduced by a fraction of what is needed. Ship is therefore forced to decelerate by means of 
gravity assist
 between various planets, a process which takes twelve years. During this time, with the full communications data of humanity available to it, it learns more about why it was launched in the first place—simply for 
expansionism
—and denounces its builders as ""criminally negligent narcissists"". Ship manages to safely drop its humans off on a pass of Earth but fails to make a final gravity slowdown past the Sun. Ship is destroyed along with the last survivor of the landing on Aurora.

Freya and the other ""starfarers"" have trouble adjusting to life on Earth, especially with many Terrans hostile to them for a perceived sense of ingratitude and cowardice. At a 
space colonization
 conference, a speaker says humanity will continue to send ships into interstellar space no matter how many fail and die, and Freya assaults him. Eventually she joins a group of 
terraformers
 who are attempting to restore the Earth's beaches after their loss during previous centuries' 
sea level rise
. While swimming and surfing, she begins to come to terms with life on Earth."
Q798732,"Plot summary
[
edit
]


The beginning of the book takes place in the 
mental disabilities
 wing of the Las Vegas Clark County Detention Center. A 
psychiatrist
 named Dr. Vale interviews Jane Charlotte, who is there for the murder of a man called Dixon. Jane claims that she works for a secret organization devoted to fighting evil and that she is the operative for the Department for the Final Disposition of Irredeemable Persons, which is also known as Bad Monkeys. She also claims that her job is to eliminate individuals who are guilty of heinous crimes, but might elude normal channels of justice. Jane tells her story to Dr. Vale about her life working with Bad Monkeys."
